"","secs","timest","st_id","st_lon","st_lat","q_cms","q_cfs","dpth_m","POSIXct","wy","dateTime"
"134",482400,"2010-01-06 15:00:00","    18578829",-87.38462,34.28121,0.013,0.447,0,2010-01-06 15:00:00,2010,2010-01-06 15:00:00
"135",486000,"2010-01-06 16:00:00","    18578829",-87.38462,34.28121,0.012,0.44,0,2010-01-06 16:00:00,2010,2010-01-06 16:00:00
"136",489600,"2010-01-06 17:00:00","    18578829",-87.38462,34.28121,0.012,0.434,0,2010-01-06 17:00:00,2010,2010-01-06 17:00:00
"137",493200,"2010-01-06 18:00:00","    18578829",-87.38462,34.28121,0.012,0.428,0,2010-01-06 18:00:00,2010,2010-01-06 18:00:00
"138",496800,"2010-01-06 19:00:00","    18578829",-87.38462,34.28121,0.012,0.422,0,2010-01-06 19:00:00,2010,2010-01-06 19:00:00
"139",500400,"2010-01-06 20:00:00","    18578829",-87.38462,34.28121,0.012,0.416,0,2010-01-06 20:00:00,2010,2010-01-06 20:00:00
"140",504000,"2010-01-06 21:00:00","    18578829",-87.38462,34.28121,0.012,0.411,0,2010-01-06 21:00:00,2010,2010-01-06 21:00:00
"141",507600,"2010-01-06 22:00:00","    18578829",-87.38462,34.28121,0.011,0.406,0,2010-01-06 22:00:00,2010,2010-01-06 22:00:00
"142",511200,"2010-01-06 23:00:00","    18578829",-87.38462,34.28121,0.011,0.401,0,2010-01-06 23:00:00,2010,2010-01-06 23:00:00
"143",514800,"2010-01-07 00:00:00","    18578829",-87.38462,34.28121,0.011,0.396,0,2010-01-07 00:00:00,2010,2010-01-07 00:00:00
"144",518400,"2010-01-07 01:00:00","    18578829",-87.38462,34.28121,0.011,0.391,0,2010-01-07 01:00:00,2010,2010-01-07 01:00:00
"145",522000,"2010-01-07 02:00:00","    18578829",-87.38462,34.28121,0.011,0.386,0,2010-01-07 02:00:00,2010,2010-01-07 02:00:00
"146",525600,"2010-01-07 03:00:00","    18578829",-87.38462,34.28121,0.011,0.382,0,2010-01-07 03:00:00,2010,2010-01-07 03:00:00
"147",529200,"2010-01-07 04:00:00","    18578829",-87.38462,34.28121,0.011,0.377,0,2010-01-07 04:00:00,2010,2010-01-07 04:00:00
"148",532800,"2010-01-07 05:00:00","    18578829",-87.38462,34.28121,0.011,0.373,0,2010-01-07 05:00:00,2010,2010-01-07 05:00:00
"149",536400,"2010-01-07 06:00:00","    18578829",-87.38462,34.28121,0.01,0.369,0,2010-01-07 06:00:00,2010,2010-01-07 06:00:00
"150",540000,"2010-01-07 07:00:00","    18578829",-87.38462,34.28121,0.01,0.365,0,2010-01-07 07:00:00,2010,2010-01-07 07:00:00
"151",543600,"2010-01-07 08:00:00","    18578829",-87.38462,34.28121,0.01,0.362,0,2010-01-07 08:00:00,2010,2010-01-07 08:00:00
"152",547200,"2010-01-07 09:00:00","    18578829",-87.38462,34.28121,0.01,0.358,0,2010-01-07 09:00:00,2010,2010-01-07 09:00:00
"153",550800,"2010-01-07 10:00:00","    18578829",-87.38462,34.28121,0.01,0.354,0,2010-01-07 10:00:00,2010,2010-01-07 10:00:00
"154",554400,"2010-01-07 11:00:00","    18578829",-87.38462,34.28121,0.01,0.351,0,2010-01-07 11:00:00,2010,2010-01-07 11:00:00
"155",558000,"2010-01-07 12:00:00","    18578829",-87.38462,34.28121,0.01,0.348,0,2010-01-07 12:00:00,2010,2010-01-07 12:00:00
"156",561600,"2010-01-07 13:00:00","    18578829",-87.38462,34.28121,0.01,0.345,0,2010-01-07 13:00:00,2010,2010-01-07 13:00:00
"157",565200,"2010-01-07 14:00:00","    18578829",-87.38462,34.28121,0.01,0.342,0,2010-01-07 14:00:00,2010,2010-01-07 14:00:00
"158",568800,"2010-01-07 15:00:00","    18578829",-87.38462,34.28121,0.01,0.339,0,2010-01-07 15:00:00,2010,2010-01-07 15:00:00
"159",572400,"2010-01-07 16:00:00","    18578829",-87.38462,34.28121,0.01,0.336,0,2010-01-07 16:00:00,2010,2010-01-07 16:00:00
"160",576000,"2010-01-07 17:00:00","    18578829",-87.38462,34.28121,0.009,0.333,0,2010-01-07 17:00:00,2010,2010-01-07 17:00:00
"161",579600,"2010-01-07 18:00:00","    18578829",-87.38462,34.28121,0.009,0.331,0,2010-01-07 18:00:00,2010,2010-01-07 18:00:00
"162",583200,"2010-01-07 19:00:00","    18578829",-87.38462,34.28121,0.009,0.328,0,2010-01-07 19:00:00,2010,2010-01-07 19:00:00
"163",586800,"2010-01-07 20:00:00","    18578829",-87.38462,34.28121,0.009,0.326,0,2010-01-07 20:00:00,2010,2010-01-07 20:00:00
"164",590400,"2010-01-07 21:00:00","    18578829",-87.38462,34.28121,0.009,0.323,0,2010-01-07 21:00:00,2010,2010-01-07 21:00:00
"165",594000,"2010-01-07 22:00:00","    18578829",-87.38462,34.28121,0.009,0.321,0,2010-01-07 22:00:00,2010,2010-01-07 22:00:00
"166",597600,"2010-01-07 23:00:00","    18578829",-87.38462,34.28121,0.009,0.319,0,2010-01-07 23:00:00,2010,2010-01-07 23:00:00
"167",601200,"2010-01-08 00:00:00","    18578829",-87.38462,34.28121,0.009,0.317,0,2010-01-08 00:00:00,2010,2010-01-08 00:00:00
"168",604800,"2010-01-08 01:00:00","    18578829",-87.38462,34.28121,0.009,0.315,0,2010-01-08 01:00:00,2010,2010-01-08 01:00:00
"169",608400,"2010-01-08 02:00:00","    18578829",-87.38462,34.28121,0.009,0.313,0,2010-01-08 02:00:00,2010,2010-01-08 02:00:00
"170",612000,"2010-01-08 03:00:00","    18578829",-87.38462,34.28121,0.009,0.311,0,2010-01-08 03:00:00,2010,2010-01-08 03:00:00
"171",615600,"2010-01-08 04:00:00","    18578829",-87.38462,34.28121,0.009,0.309,0,2010-01-08 04:00:00,2010,2010-01-08 04:00:00
"172",619200,"2010-01-08 05:00:00","    18578829",-87.38462,34.28121,0.009,0.307,0,2010-01-08 05:00:00,2010,2010-01-08 05:00:00
"173",622800,"2010-01-08 06:00:00","    18578829",-87.38462,34.28121,0.009,0.306,0,2010-01-08 06:00:00,2010,2010-01-08 06:00:00
"174",626400,"2010-01-08 07:00:00","    18578829",-87.38462,34.28121,0.009,0.304,0,2010-01-08 07:00:00,2010,2010-01-08 07:00:00
"175",630000,"2010-01-08 08:00:00","    18578829",-87.38462,34.28121,0.009,0.303,0,2010-01-08 08:00:00,2010,2010-01-08 08:00:00
"176",633600,"2010-01-08 09:00:00","    18578829",-87.38462,34.28121,0.009,0.301,0,2010-01-08 09:00:00,2010,2010-01-08 09:00:00
"177",637200,"2010-01-08 10:00:00","    18578829",-87.38462,34.28121,0.008,0.3,0,2010-01-08 10:00:00,2010,2010-01-08 10:00:00
"178",640800,"2010-01-08 11:00:00","    18578829",-87.38462,34.28121,0.008,0.298,0,2010-01-08 11:00:00,2010,2010-01-08 11:00:00
"179",644400,"2010-01-08 12:00:00","    18578829",-87.38462,34.28121,0.008,0.297,0,2010-01-08 12:00:00,2010,2010-01-08 12:00:00
"180",648000,"2010-01-08 13:00:00","    18578829",-87.38462,34.28121,0.008,0.296,0,2010-01-08 13:00:00,2010,2010-01-08 13:00:00
"181",651600,"2010-01-08 14:00:00","    18578829",-87.38462,34.28121,0.008,0.295,0,2010-01-08 14:00:00,2010,2010-01-08 14:00:00
"182",655200,"2010-01-08 15:00:00","    18578829",-87.38462,34.28121,0.008,0.293,0,2010-01-08 15:00:00,2010,2010-01-08 15:00:00
"183",658800,"2010-01-08 16:00:00","    18578829",-87.38462,34.28121,0.008,0.292,0,2010-01-08 16:00:00,2010,2010-01-08 16:00:00
